,stargazers,age_years,releases,loc_sum,cbo_median,dit_median,lcom_median
mean,9654.934633027522,9.69638741844533,38.93692660550459,86907.25344036697,3.503440366972477,1.091743119266055,1.5315366972477065
median,5945.5,9.79603011635866,11.0,14430.5,3.0,1.0,0.0
std,10636.94595170151,3.03422105278191,85.37039936192107,343188.2545476919,1.4983686800573062,0.3154290181791022,16.961457041208583
min,3497.0,0.164271047227926,0.0,2.0,0.0,1.0,0.0
max,116152.0,16.66803559206023,1000.0,8601503.0,11.0,4.0,453.5
