repository,cbo_median,cbo_mean,dit_median,dit_mean,lcom_median,lcom_mean,loc_sum
android-crop,1.0,4.290322580645161,1.0,1.3870967741935485,0.0,26.483870967741936,1676
Android-Debug-Database,4.0,4.147540983606557,1.0,1.278688524590164,0.0,8.80327868852459,2393
android-gif-drawable,4.0,6.15625,1.0,1.65625,0.0,59.734375,2920
android-gpuimage,2.0,2.9607843137254903,2.0,2.156862745098039,0.0,11.300653594771243,6341
android-iconify,3.0,3.511627906976744,1.0,1.2325581395348837,1.0,5.186046511627907,909
Android-Image-Cropper,4.0,7.725,1.0,1.375,0.0,70.375,4655
Android-IMSI-Catcher-Detector,3.0,5.059760956175299,1.0,1.3306772908366533,0.0,4.964143426294821,12171
android-interview-questions,0.0,0.0,1.0,1.0,0.0,0.0,5
android-job,4.0,6.994708994708994,1.0,1.7671957671957672,1.0,32.00529100529101,10693
android-lifecycle,7.5,7.0,2.0,1.6666666666666667,190.0,151.66666666666666,481
android-mvp-architecture,3.0,5.815068493150685,1.0,1.3835616438356164,0.0,14.10958904109589,4049
Android-ObservableScrollView,3.0,5.014925373134329,2.0,1.9671641791044776,0.0,7.570149253731343,12621
Android-PickerView,2.0,3.7252747252747254,1.0,1.1538461538461537,0.0,15.494505494505495,4421
Android-PullToRefresh,4.5,6.024390243902439,2.0,2.1097560975609757,1.0,55.84146341463415,3567
Android-skin-support,5.0,6.079012345679012,1.0,1.3925925925925926,1.0,17.671604938271606,19377
Android-SpinKit,5.0,4.816901408450704,2.0,3.1690140845070425,1.0,21.52112676056338,1812
android-times-square,4.0,4.553191489361702,1.0,1.2340425531914894,0.0,25.872340425531913,2286
android-tips-tricks,1.0,1.0,1.0,1.0,0.0,0.0,22
Android-Touch-Helper,3.0,4.127272727272727,1.0,1.1818181818181819,0.0,1.9454545454545455,2257
android-Ultra-Pull-To-Refresh,2.0,4.055900621118012,1.0,1.4161490683229814,0.0,19.142857142857142,5476
Android-Universal-Image-Loader,3.0,4.864285714285714,1.0,1.5857142857142856,0.5,28.84285714285714,7434
android-volley,3.0,5.090909090909091,1.0,1.893939393939394,0.0,15.818181818181818,4965
Android-ZBLibrary,3.0,5.377358490566038,1.0,1.559748427672956,0.0,26.666666666666668,14727
android-zxingLibrary,3.0,4.711538461538462,1.0,1.3269230769230769,0.0,5.634615384615385,2018
androidannotations,4.0,5.95742471443406,1.0,1.6832814122533748,1.0,26.09865005192108,28800
AndroidAsync,2.0,3.613259668508287,1.0,1.5322283609576428,0.0,19.44014732965009,18086
AndroidAutoLayout,5.0,5.833333333333333,2.0,2.0,8.0,8.807692307692308,2370
AndroidAutoSize,4.0,5.408163265306122,1.0,1.4081632653061225,1.0,31.285714285714285,1720
